Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1775164,CUSHION,0.7,VS2,H,VG,EX,VG,M,5.64-4.63×3.17,"2,112.72",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-127/
1642242,CUSHION,0.8,SI2,F,VG,EX,VG,M,5.51-5.14×3.45,"2,116.52",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-45/
1638131,CUSHION,0.7,SI2,D,EX,EX,VG,N,5.23-4.93×3.31,"2,117.68",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-83/
1796899,CUSHION,0.59,VS2,F,EX,EX,VG,N,4.98-4.52×3.07,"2,117.98",https://capitalwholesalediamonds.com/product/0-59-ct-cushion-17/
1631323,CUSHION,0.75,VVS2,I,EX,EX,VG,F,5.10-5.10×3.42,"2,118.77",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-20/
1534911,CUSHION,0.8,VS2,I,EX,EX,VG,F,5.67-4.93×3.35,"2,119.15",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-93/
1609780,CUSHION,0.8,VS2,I,VG,EX,VG,N,5.60-4.95×3.47,"2,119.15",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-96/
1628223,CUSHION,0.9,SI1,K,EX,EX,VG,N,5.62-5.24×3.55,"2,119.75",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-98/
1628248,CUSHION,0.71,VS2,H,VG,EX,VG,N,5.24-4.72×3.30,"2,123.35",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-9/
1639553,CUSHION,0.72,SI1,F,EX,EX,VG,N,5.80-4.71×3.18,"2,123.49",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-13/
1587771,CUSHION,0.7,SI1,E,EX,EX,VG,N,5.70-4.66×3.16,"2,125.23",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-11/
1619458,CUSHION,0.8,VVS2,J,EX,EX,VG,N,5.20-5.14×3.49,"2,126.15",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-118/
200758-47,CUSHION,1,SI1,K,EX,EX,EX,ST,5.57-5.57×3.77,"2,126.49",https://capitalwholesalediamonds.com/product/1-ct-cushion-97/
