Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
201199-30,CUSHION,1.4,VS1,E,EX,EX,VG,VS,6.95-5.86×3.98,"8,003.01"
201203-162,CUSHION,2,SI1,D,EX,EX,EX,N,7.78-6.76×4.53,"17,787.42"
201225-409,CUSHION,2,SI1,F,EX,EX,VG,N,7.25-7.07×4.76,"17,875.20"
200730-25,CUSHION,2.01,VS2,H,EX,EX,EX,N,7.33-7.32×4.91,"18,024.06"
200453-275,CUSHION,3.53,IF,FANCY,EX,EX,EX,N,8.35-8.33×5.61,"18,054.65"
200453-252,CUSHION,2,VS2,E,EX,EX,EX,M,7.39-6.97×4.72,"18,073.74"
210035-241,CUSHION,2.01,VS2,H,VG,EX,EX,N,7.31-7.22×4.96,"18,439.82"
200733-98,CUSHION,2.01,SI1,G,EX,EX,EX,N,7.97-6.93×4.68,"18,524.37"
201235-310,CUSHION,1.71,VVS2,D,EX,EX,EX,N,7.73-6.70×4.23,"18,681.64"
210331-139,CUSHION,1.89,VS2,G,VG,EX,EX,N,7.34-6.58×4.57,"18,728.41"
210041-538,CUSHION,1.81,VVS1,FANCY,EX,EX,VG,N,6.78-6.59×4.47,"18,729.27"
210678-242,CUSHION,1.9,SI1,E,VG,EX,EX,N,7.03-6.81×4.74,"18,762.07"
201199-9,CUSHION,2,VS2,D,EX,EX,VG,M,7.06-7.03×4.77,"19,164.77"
210387-29,CUSHION,1.9,SI1,D,EX,EX,EX,F,7.35-6.72×4.57,"19,184.02"
210544-148,CUSHION,2,VS1,G,EX,EX,EX,ST,7.66-6.65×4.52,"19,277.86"
210407-286,CUSHION,2.5,VS1,FANCY,EX,EX,VG,N,7.36-7.31×4.91,"19,531.20"
210035-119,CUSHION,2.01,SI2,I,VG,VG,VG,N,7.36-6.78×4.74,"11,445.17"
211067-105,CUSHION,1.2,SI1,I,EX,EX,VG,N,6.01-5.86×3.96,"5,744.23"
211003-1076,CUSHION,1.32,IF,D,EX,EX,EX,VS,6.42-6.03×4.04,"11,502.51"
211142-188,CUSHION,1.91,SI1,FANCY,EX,EX,EX,ST,7.21-6.52×4.51,"11,574.89"
210452-256,CUSHION,1.29,VVS1,F,VG,VG,EX,N,6.30-5.90×4.09,"11,584.19"
211007-21,CUSHION,2,VS1,FANCY,EX,EX,VG,M,7.12-6.84×4.63,"11,586.96"
210041-478,CUSHION,2.01,VS1,FANCY,VG,EX,VG,N,6.79-6.72×4.67,"11,643.30"
Eco Diamond LG200833,CUSHION,2.02,VVS2,E,EX,EX,EX,N,7.44X7.27X4.82,"11,662.87"
210217-30,CUSHION,1.79,VS2,H,VG,EX,EX,M,6.67-6.56×4.59,"11,713.93"
211057-137,CUSHION,1.06,IF,D,EX,EX,EX,N,6.63-5.33×3.61,"11,736.56"
210676-55,CUSHION,1.52,SI1,G,VG,EX,EX,N,7.13-5.96×4.15,"11,750.81"
210041-359,CUSHION,2.03,VS1,FANCY,EX,EX,VG,N,7.21-6.75×4.58,"11,755.98"
211096-235,CUSHION,2,VS1,K,EX,EX,VG,N,7.18-7.06×4.80,"11,775.25"
200784-205,CUSHION,2,SI2,I,VG,EX,EX,N,7.48-6.60×4.61,"11,775.93"
203212-307,CUSHION,1.7,VS2,G,VG,EX,EX,N,6.99-6.36×4.46,"11,917.48"
201241-203,CUSHION,2,SI2,I,EX,EX,VG,F,7.10-7.09×4.82,"11,968.98"
210105-629,CUSHION,2.19,IF,E,EX,EX,EX,N,7.93-6.88×4.69,"35,945.05"
210155-92,CUSHION,3,VS2,H,VG,EX,EX,F,7.86-7.85×5.49,"36,621.31"
210361-167,CUSHION,2.4,VVS2,F,VG,EX,EX,N,7.58-7.22×5.07,"36,787.55"
211010-25,CUSHION,3.03,VS1,I,EX,EX,EX,N,9.14-7.67×5.20,"37,753.27"
200802-42,CUSHION,4,VVS1,FANCY,VG,EX,GD,N,10.11-7.86×5.47,"38,501.90"
211135-81,CUSHION,3.01,VS2,F,EX,EX,EX,ST,8.21-7.86×5.32,"38,507.88"
200802-35,CUSHION,4.01,SI1,FANCY,EX,EX,VG,N,10.10-7.87×5.33,"38,597.36"
210325-1,CUSHION,3,SI1,H,EX,EX,EX,N,8.33-7.81×5.30,"39,433.29"
200399-28,CUSHION,5.01,I2,FANCY,EX,EX,VG,F,9.61-9.36×6.34,"39,531.39"
201196-18,CUSHION,3.02,VVS1,H,EX,EX,EX,ST,8.94-7.67×5.20,"39,944.72"
200498-62,CUSHION,3.51,VS2,FANCY,EX,EX,EX,F,9.00-8.09×5.35,"41,056.65"
210042-119,CUSHION,2.39,VVS2,D,VG,EX,EX,N,7.64-7.37×5.13,"41,142.29"
200652-17,CUSHION,2.51,VVS1,F,EX,EX,EX,N,8.93-7.37×4.94,"41,564.56"
201082-7,CUSHION,5.01,SI2,L,EX,EX,EX,N,9.94-9.72×6.35,"41,719.09"
210587-99,CUSHION,3.01,VS2,FANCY,EX,EX,EX,M,7.87-7.67×5.30,"41,745.97"
200800-190,CUSHION,1.9,SI1,I,EX,EX,EX,N,6.98-6.79×4.61,"12,627.71"
201239-80,CUSHION,2,SI1,I,GD,EX,VG,N,7.09-6.76×4.71,"12,696.18"
200442-37,CUSHION,2,SI2,G,EX,EX,EX,N,7.45-6.87×4.64,"12,820.09"
200730-28,CUSHION,1.51,VS2,F,EX,EX,VG,N,6.62-6.54×4.44,"12,892.04"
211107-327,CUSHION,1.7,SI1,F,EX,EX,EX,N,6.88-6.61×4.50,"12,916.46"
211123-14,CUSHION,2,VS1,J,VG,EX,VG,M,6.98-6.89×4.77,"12,989.62"
210036-53,CUSHION,2.7,VS2,FANCY,EX,EX,VG,N,7.82-7.72×5.18,"12,996.87"
211012-71,CUSHION,3,VVS1,W-X,EX,EX,EX,M,8.23-7.98×5.09,"12,997.82"
200705-21,CUSHION,3.02,VVS2,W-X,EX,EX,EX,N,9.00-7.50×5.07,"13,019.69"
210407-149,CUSHION,2.5,VVS2,FANCY,VG,VG,VG,N,7.23-7.21×5.13,"13,084.50"
