Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
210353-287,PEAR,1.01,IF,F,VG,EX,EX,N,9.18-5.32×3.36,"9,641.69"
211069-3,PEAR,2,SI2,J,EX,EX,EX,F,11.66-6.95×4.16,"15,379.60"
200784-196,PEAR,1.9,SI1,I,VG,EX,EX,N,10.24-6.92×4.41,"15,382.34"
211016-545,PEAR,1.7,SI2,G,EX,EX,EX,N,11.08-6.58×3.90,"15,476.93"
200801-48,PEAR,1.5,VS1,F,EX,EX,VG,M,10.41-6.43×3.82,"15,503.29"
210543-158,PEAR,1.5,SI1,D,VG,EX,VG,N,9.61-6.36×4.01,"15,504.29"
211185-591,PEAR,2.01,SI2,J,VG,EX,EX,N,11.51-6.92×4.13,"15,555.79"
210504-39,PEAR,1.51,VS2,G,EX,VG,VG,N,9.67-6.40×4.04,"15,608.70"
211183-168,PEAR,1.51,SI1,D,EX,EX,EX,N,9.81-6.46×4.07,"15,675.88"
210480-198,PEAR,2.01,SI1,I,VG,EX,VG,VS,10.28-6.94×4.44,"15,690.71"
211171-77,PEAR,1.5,SI1,E,VG,EX,EX,N,9.49-6.38×4.08,"15,766.86"
210652-532,PEAR,1.51,SI1,D,EX,EX,VG,N,9.85-6.52×4.09,"15,769.57"
210438-114,PEAR,1.6,SI1,D,VG,EX,EX,F,9.75-6.31×4.03,"15,845.90"
210587-62,PEAR,1.5,VS1,F,EX,EX,VG,ST,10.49-6.13×3.80,"15,861.09"
210480-202,PEAR,2,SI2,J,VG,EX,EX,F,10.37-7.00×4.43,"15,891.75"
210651-214,PEAR,2,SI1,K,EX,EX,EX,N,10.89-7.17×4.43,"15,925.23"
210369-589,PEAR,1,I1,L,EX,EX,VG,ST,8.49-5.56×3.47,"2,283.34"
1748065,PEAR,0.73,SI2,E,EX,EX,VG,F,7.74-4.99×3.15,"2,285.03"
1789199,PEAR,0.9,SI2,K,EX,EX,VG,M,8.99-5.31×3.18,"2,289.70"
1742082,PEAR,0.59,VS1,E,EX,EX,VG,N,7.79-4.54×2.79,"2,296.47"
1775519,PEAR,0.51,VS1,D,EX,EX,EX,F,7.21-4.45×2.66,"2,296.49"
1781641,PEAR,0.5,VS1,E,EX,EX,VG,N,6.76-4.47×2.79,"2,296.93"
Eco Diamond LG200276,PEAR,1.03,VS2,J,VG,EX,EX,N,8.65X5.63X3.58,"2,303.26"
1796080,PEAR,0.7,SI2,H,GD,VG,GD,N,7.27-4.93×3.08,"2,310.06"
1796090,PEAR,0.65,VS2,E,VG,EX,GD,M,7.24-4.70×2.97,"2,315.40"
1794699,PEAR,0.5,VVS2,E,EX,EX,VG,F,7.16-4.55×2.68,"2,316.25"
1793326,PEAR,0.5,VS1,F,EX,EX,VG,N,6.70-4.43×2.76,"2,317.16"
1653061,PEAR,0.75,VS2,J,EX,VG,VG,F,8.45-5.11×2.97,"2,318.26"
1785489,PEAR,0.7,SI1,J,EX,EX,VG,F,7.74-4.80×3.00,"2,319.63"
1783052,PEAR,0.5,VS1,E,EX,EX,VG,N,7.42-4.43×2.58,"2,319.73"
1783055,PEAR,0.5,VS1,E,EX,EX,VG,N,6.81-4.47×2.78,"2,319.73"
211124-252,PEAR,1.7,SI2,F,EX,EX,EX,SL,10.75-6.28×3.93,"8,581.78"
210502-98,PEAR,2,SI2,K,VG,VG,VG,N,10.32-6.96×4.44,"8,586.55"
210517-19,PEAR,1.5,SI2,F,VG,VG,VG,N,9.84-6.48×3.94,"8,589.30"
1761860,PEAR,0.5,VS1,E,VG,EX,GD,N,6.63-4.40×2.78,"1,984.99"
1634696,PEAR,0.5,VS1,F,EX,EX,VG,N,6.81-4.44×2.75,"1,986.62"
1771606,PEAR,0.59,VS2,E,EX,EX,VG,N,7.67-4.57×2.76,"1,987.22"
1657951,PEAR,0.5,VVS1,D,EX,EX,VG,F,7.16-4.28×2.66,"1,988.57"
1771608,PEAR,0.53,VS2,G,EX,EX,VG,N,7.22-4.52×2.78,"1,988.78"
1772669,PEAR,0.72,SI2,J,EX,EX,VG,ST,7.84-4.79×3.00,"1,991.83"
1796091,PEAR,0.5,VS2,E,EX,EX,VG,N,7.12-4.53×2.60,"1,993.46"
1800231,PEAR,0.5,VS2,F,EX,EX,VG,N,7.32-4.41×2.63,"1,996.74"
1779971,PEAR,0.51,VS2,G,EX,EX,VG,N,7.48-4.40×2.59,"1,998.88"
1668407,PEAR,0.52,VS2,D,EX,EX,VG,N,7.46-4.39×2.71,"2,000.25"
1796093,PEAR,0.59,VS2,H,VG,EX,VG,F,7.29-4.56×2.87,"2,002.26"
1783051,PEAR,0.51,VS1,E,EX,EX,VG,F,7.39-4.31×2.72,"2,002.43"
